Technique,Description,Categories,Sub-Categories,Scope Global,Scope Local,Model-Dependency,Example Use-Case,Tags
SHAP (SHapley Additive exPlanations),"Assigns importance values to each feature by computing their contribution to individual predictions, based on Shapley values from cooperative game theory.",Feature Analysis,Importance and Attribution,Yes,Yes,Model-Agnostic,Explaining individual predictions in complex models like neural networks or ensemble models.,Attribution; Feature Importance; Global Scope; Local Scope; Model-Agnostic
Permutation Importance,Evaluates feature importance by measuring the decrease in model accuracy when a feature's values are randomly shuffled.,Feature Analysis,Importance and Attribution,Yes,No,Model-Agnostic,"Assessing feature importance in models where coefficients are not available, such as tree-based models.",Attribution; Feature Importance; Global Scope; Model-Agnostic
Mean Decrease Impurity (MDI),Calculates feature importance in tree-based models by measuring how much each feature decreases impurity across all trees.,Feature Analysis,Importance and Attribution,Yes,No,Model-Specific,Determining important features in Random Forest classification tasks.,Attribution; Feature Importance; Global Scope; Model-Specific
Gini Importance,Measures the total reduction of Gini impurity brought by a feature across all nodes and trees in decision trees and Random Forests.,Feature Analysis,Importance and Attribution,Yes,No,Model-Specific,Selecting important features when building tree-based classification models.,Attribution; Feature Importance; Global Scope; Model-Specific
Coefficient Magnitudes (in Linear Models),"Uses the absolute values of coefficients in linear models to represent feature importance, indicating the strength and direction of relationships.",Feature Analysis,Importance and Attribution,Yes,No,Model-Specific,Interpreting which features influence housing price predictions in linear regression.,Attribution; Feature Importance; Global Scope; Model-Specific
Integrated Gradients,Attributes feature importance by integrating gradients of the model's output with respect to inputs along a path from a baseline to the actual input. Produces visualisations of attributions.,Feature Analysis; Visualisation Techniques,Importance and Attribution; Feature Visualisation,No,Yes,Model-Specific,Understanding pixel contributions in image classification with deep neural networks.,Attribution; Feature Importance; Feature Visualisation; Local Scope; Model-Specific; Visualisation
DeepLIFT,"Tracks changes in the output relative to a reference input, decomposing contributions from individual neurons to the final prediction in deep learning models.",Feature Analysis,Importance and Attribution,No,Yes,Model-Specific,Explaining why a neural network classifies an image as a specific object by tracing neuron activations.,Attribution; Feature Importance; Local Scope; Model-Specific
Layer-wise Relevance Propagation (LRP),"Explains predictions by backpropagating relevance scores from the output layer to input features, distributing the prediction score layer by layer.",Feature Analysis,Importance and Attribution,No,Yes,Model-Specific,Visualizing important regions in medical images for disease diagnosis using deep learning models.,Attribution; Feature Importance; Local Scope; Model-Specific
"Variable Importance in Random Forests (MDA, MDG)",Calculates feature importance by measuring the Mean Decrease Accuracy or Mean Decrease Gini when a feature is excluded from Random Forest models.,Feature Analysis,Importance and Attribution,Yes,No,Model-Specific,Identifying key predictors in a Random Forest model for credit scoring.,Attribution; Feature Importance; Global Scope; Model-Specific
Contextual Decomposition,Interprets neural networks by decomposing activations to explain predictions based on contributions of individual features or groups.,Feature Analysis,Importance and Attribution,No,Yes,Model-Specific,Explaining sentiment predictions in text by attributing scores to words or phrases.,Attribution; Feature Importance; Local Scope; Model-Specific
